Nom du Produit en Français,Type de production,Catégorie,Score unique EF3.1 (mPt/kg),Changement climatique (kg CO2 eq/kg),Appauvrissement de la couche d'ozone (kg CFC11 eq/kg),Rayonnements ionisants (kBq U-235 eq/kg),Formation photochimique d'ozone (kg NMVOC eq/kg),Particules (disease inc./kg),Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg),Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg),Acidification terrestre et eaux douces (mol H+ eq/kg),Eutrophisation eaux douces (kg P eq/kg),Eutrophisation marine (kg N eq/kg),Eutrophisation terreste (mol N eq/kg),Écotoxicité pour écosystèmes aquatiques d'eau douce (CTUe/kg),Utilisation du sol (Pt/kg),Épuisement des ressources eau (m3 depriv./kg),Épuisement des ressources énergétiques (MJ/kg),Épuisement des ressources minéraux (kg Sb eq/kg),Changement climatique - émissions biogéniques (kg CO2 eq/kg),Changement climatique - émissions fossiles (kg CO2 eq/kg),Changement climatique - émissions liées au changement d'affectation des sols (kg CO2 eq/kg)
"Courgette conventionnelle, printemps sous tunnel, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.024320128,0.14748926,3.029156e-09,0.027467624,0.00062538802,1.4876284e-08,1.3553763e-08,2.9078775e-10,0.0019086624,2.7881374e-05,0.00049485475,0.0075420368,1.8787312,3.4023162,0.44691636,2.6154184,1.7141402e-06,0.00081730827,0.14645443,0.00021751685
"Crevette, Chine, conventionnelle, à la ferme, France",Aquaculture,Agricultural\Animal production\Seafood\Transformation,1.3452896,7.7403063,8.6432307e-07,0.64947369,0.02994307,5.1002083e-07,1.1143379e-07,7.6777552e-09,0.049744872,0.0035818414,0.051455895,0.13014098,140.892182,102.86895,76.716314,84.861227,2.0932018e-05,0.021270682,7.2747065,0.44432907
"Dinde, conventionnel, à la ferme, France",Elevage,Agricultural\Animal production\Avian\Transformation,0.48613322,2.8536728,4.6158471e-08,0.17004195,0.010719323,5.5417611e-07,5.5051974e-08,2.8124092e-09,0.079812464,0.00037344319,0.022032977,0.34530548,127.55486,146.66684,0.79094917,17.319829,8.7471338e-06,0.033144479,1.7573932,1.063135
"Dinde, Label Rouge, à la ferme, France",Elevage,Agricultural\Animal production\Avian\Transformation,0.71762775,3.9193547,6.264528e-08,0.22973641,0.014452161,8.7114366e-07,7.5093115e-08,3.8245095e-09,0.1253908,0.00050642081,0.031069598,0.54467932,175.18093900000002,212.84391,1.0825783,23.34343,1.1913924e-05,0.045107965,2.4187931,1.4554536
"Endive conventionnelle, précoce, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.045566883,0.3213394,7.5291364e-08,0.19958029,0.00084280761,1.0927526e-08,6.0789557e-09,4.5991503e-10,0.0012066778,7.0665951e-05,0.0022639627,0.0031847625,16.6734062,38.801696,0.096623965,7.1367048,3.4970255e-06,0.00026223456,0.32004055,0.0010366133
"Endive conventionnelle, saison, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.035275464,0.24679268,6.0350494e-08,0.2176999,0.00058356703,9.0315619e-09,4.4269157e-09,3.3809048e-10,0.0009437705,5.2704721e-05,0.0012731669,0.002519485,10.8538245,25.505007,0.076488298,6.3732921,2.8199444e-06,0.00023198814,0.24588864,0.000672055
"Endive conventionnelle, tardive, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0633269,0.35998461,7.9547735e-08,0.56407724,0.00094395341,1.4791206e-08,7.9365094e-09,4.8470749e-10,0.0015435447,8.9759325e-05,0.0020980665,0.0038463946,13.1262027,38.004476,0.1071638,14.36422,5.778465e-06,0.00046601129,0.35870849,0.00081011458
"Endive, conventionnelle, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.048554322,0.3069788,7.1017564e-08,0.35262691,0.0007795697,1.1714613e-08,6.1611612e-09,4.211022e-10,0.0012362616,7.1118809e-05,0.0018012859,0.0031833043,12.926692,33.164132,0.092785631,9.7223457,4.1387688e-06,0.00033164668,0.30584696,0.0008001905
"Féverole, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.046212826,0.30254122,4.6306863e-09,0.0061331975,0.00048153119,7.9746452e-09,2.7111973e-09,6.7509128e-10,0.0011322489,0.00011976699,0.0071988704,0.0040425717,18.131459,108.31998,0.030150258,1.28463,9.3744708e-07,4.3937875e-05,0.17534582,0.12715146
"Féverole, conventionnel, protection intégrée, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.044966245,0.29950094,4.4400267e-09,0.0059509499,0.00047339175,7.913972e-09,2.6464669e-09,6.7313702e-10,0.0011251695,0.00011938833,0.0071971749,0.0040297822,15.1148445,108.31554,0.030189078,1.2421496,9.0910275e-07,4.2837913e-05,0.17230782,0.12715028
"Fibres de chanvre, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.070835551,0.36689228,3.0576331e-09,0.0078649205,0.0008839297,5.8000793e-08,2.7392399e-08,9.6035926e-10,0.0084837813,0.0002148237,0.0060784362,0.037633253,2.2914432600000003,105.39826,0.040291824,1.7026741,1.5721341e-06,5.7323977e-05,0.24320993,0.12362503
"Fraise conventionnelle, hors sol sous abri anti gel, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.11763242,0.87554831,2.8384673e-08,0.2450186,0.0029972087,4.9262007e-08,1.418606e-08,1.4073862e-09,0.0051407253,0.0006191809,0.0026541891,0.015726687,14.9143208,11.405362,0.77290047,19.18202,1.2897836e-05,0.0008540892,0.87401952,0.00067470556
"Fraise conventionnelle, hors sol sous abri chauffé, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.28851814,3.1357839,1.2410635e-07,0.44822559,0.0089278282,1.6447446e-07,2.5844511e-08,2.3554807e-09,0.011511188,0.00085873259,0.0044027218,0.033699119,23.1358091,30.083105,1.0567066,55.260899,1.9339125e-05,0.0038966725,3.1299602,0.0019270175
"Fraise conventionnelle, hors sol sous abri non chauffé, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.12698208,0.72144359,1.8284107e-08,0.1299341,0.0029534773,5.9741742e-08,1.4309183e-08,1.6818258e-09,0.0061177962,0.00112259,0.0047023122,0.020545677,13.7029745,13.498256,1.2485754,14.025694,1.4957698e-05,0.00093502593,0.71966282,0.00084574949
"Fraise conventionnelle, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Fruits\Transformation,0.12883847,1.0788418,3.8168236e-08,0.19416268,0.0035133843,6.801576e-08,1.6574276e-08,1.4517667e-09,0.0060642679,0.00050232899,0.0028056843,0.019322658,14.5457647,17.810947,0.87817304,20.635856,1.2216159e-05,0.0013016765,1.0767026,0.00083751778
"Fraise conventionnelle, plein champ, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.050887942,0.17824435,6.9720032e-09,0.065885158,0.00092694194,3.266662e-08,1.2519515e-08,3.7964737e-10,0.0048210677,6.5950291e-05,0.0039838969,0.019781722,8.6923394,33.166284,1.0308671,3.3178332,1.7724675e-06,0.0001373819,0.17793582,0.00017115182
"Fraise conventionnelle, sol sous abri non chauffé, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.071918017,0.47582197,1.3116935e-08,0.080094818,0.0018539385,4.0092773e-08,1.5175783e-08,1.2902778e-09,0.0038620916,0.00013802886,0.00067082472,0.012320265,11.7858956,9.9667905,0.63164005,10.221834,1.0683508e-05,0.00065750502,0.47460382,0.00056064966
"Fraise industrie, plein champ, conventionnel, à la ferme, Espagne",Culture,Agricultural\Plant production\Fruits\Transformation,0.13249128,0.24011765,8.5399896e-09,0.069800157,0.0012454922,3.48606e-08,1.3252203e-08,3.2911011e-10,0.0051616858,6.9615433e-05,0.0040603931,0.021103069,9.1246969,98.190381,10.463442,4.2684484,2.2720486e-06,0.0001501457,0.23978119,0.00018631067
"Fraise industrie, plein champ, conventionnel, à la ferme, maroc",Culture,Agricultural\Plant production\Fruits\Transformation,0.13167334,0.16752684,6.8603151e-09,0.065353584,0.00075715571,3.367764e-08,1.270148e-08,2.8987121e-10,0.0048161649,6.5364417e-05,0.0039244424,0.019647647,8.7028289,63.871132,11.619869,3.258631,1.6719383e-06,0.00013513714,0.16722607,0.0001656363
"Fraise industrie, plein champ, conventionnel, à la ferme, Pologne",Culture,Agricultural\Plant production\Fruits\Transformation,0.055138972,0.16752684,6.8603151e-09,0.065353584,0.00075715571,3.367764e-08,1.270148e-08,2.8987121e-10,0.0048161649,6.5364417e-05,0.0039244424,0.019647647,8.7028289,136.19217,0.36120245,3.258631,1.6719383e-06,0.00013513714,0.16722607,0.0001656363
"Gadidae, mer celtique, chalut de fond, au débarquement, France",Pêche,Agricultural\Animal production\Fish\Transformation,0.6250567300000001,3.5800711,7.7450502e-08,0.028113815,0.079842015,8.3257364e-07,1.408478e-08,2.3145472e-09,0.10859658,0.00011283478,0.026629508,0.29002939,20.6195208,3.0969961,0.095802984,46.430187,7.9901652e-06,0.00050366586,3.576603,0.0029644724
"Génisse allaitante  système d'engraissement conventionnel, plus de 1,2 UGB par ha, à la ferme, France",Elevage,Agricultural\Animal production\Bovine\Transformation,1.7159072999999998,18.133315,6.6816818e-08,0.47906924,0.026100323,1.8208481e-06,2.8338405e-07,6.3692144e-09,0.27129672,0.00053965289,0.061543046,1.211588,57.437459,1020.4264,1.7451759,31.966773,1.6705375e-05,13.460085,4.6207209,0.05250939
"Grain de café (robusta), dépulpés, au Brésil, au départ de l'exploitation, Brésil",Culture,Agricultural\Plant production\Fruits\Transformation,0.52546731,1.625605,3.6816293e-08,0.042050116,0.0068294953,3.2189209e-07,1.6177181e-08,5.0101384e-10,0.047351498,0.00019477429,0.034649176,0.20164509,635.506518,223.94054,0.72101363,10.193134,1.1782224e-05,0.0006949281,1.6242573,0.00065282902
"Graine de chanvre, Champagne, à la ferme, France",Culture,Agricultural\Plant production\Cereals\Transformation,0.16247087,0.84229298,7.025857e-09,0.018071287,0.002032446,1.3289305e-07,6.2771816e-08,2.2020927e-09,0.019440574,0.00049260535,0.013949279,0.086236615,5.25941633,241.86265,0.092505509,3.9127049,3.6116806e-06,0.00013166253,0.55833283,0.28382849
"Graine de tournesol,  conventionnel, 9% d'humidité, moyenne nationale, aliment pour animaux, à la ferme, France",Culture,Agricultural\Plant production\Oil seeds\Transformation,0.12947157,0.89712484,1.0343719e-08,0.031477827,0.0019427156,6.8036792e-08,3.5430946e-08,3.2411551e-09,0.0082654929,0.00052616774,0.011311153,0.041755019,14.2417585,241.06169,0.20475622,3.9093871,2.9565482e-06,0.036022777,0.57849727,0.2826048
"Graine de tournesol, levier culture intermédiaire, à la ferme, France",Culture,Agricultural\Plant production\Oil seeds\Transformation,0.10881321,0.78514268,7.4415494e-09,0.01527021,0.0016001757,3.6498847e-08,3.3800155e-09,3.5876039e-09,0.0056511125,0.00071860146,0.010202354,0.023230852,10.0571064,242.381,0.11296131,3.5003281,2.6066041e-06,0.00011178255,0.50043946,0.28459143
"Graine de tournesol, levier légumineuse dans rotation, à la ferme, France",Culture,Agricultural\Plant production\Oil seeds\Transformation,0.11611223,0.79887066,6.122429e-09,0.012711247,0.0017332709,4.4469212e-08,2.9847241e-09,3.5510771e-09,0.006971234,0.00071226646,0.013078018,0.029444219,9.5836085,240.01817,0.13428397,2.9581273,2.2677691e-06,0.00011181165,0.51690564,0.28185321
"Graine de tournesol, scénario de base, à la ferme, France",Culture,Agricultural\Plant production\Oil seeds\Transformation,0.11537233,0.79662183,6.1181187e-09,0.012705403,0.0017316835,4.445758e-08,2.989393e-09,3.5548868e-09,0.0069691632,0.00071227907,0.012641481,0.029439002,9.559582,240.01814,0.13431605,2.9555088,2.2649545e-06,0.00011169383,0.51465641,0.28185372
"Graines de lin extrudées, aliment Bleu Blanc Coeur, à la ferme, France",Culture,Agricultural\Plant production\Oil seeds\Transformation,0.1714798599999999,1.1265284,1.4640087e-08,0.041249112,0.0029267201,1.1084647e-07,1.5606319e-08,3.1299474e-09,0.017237517,0.00048272338,0.015699036,0.07502444,14.4865335,278.00537,0.24920324,6.1135533,3.9449994e-06,0.00022572001,0.80027916,0.32602347
"Graines de lin, paille, Normandie, à la ferme, France",Culture,Agricultural\Plant production\Oil seeds\Transformation,0.0409095359999999,0.29715781,5.2128305e-09,0.015194946,0.0007255299,1.5439841e-08,3.315946e-08,6.4970363e-10,0.0025688076,0.00010571771,0.0010768456,0.0055123217,8.147316199999999,64.651321,0.06940902,2.7566428,2.6645358e-06,8.955131e-05,0.22188967,0.075178591
"Grande truite, 2-4 kg, conventionnel, à la ferme, France",Aquaculture,Agricultural\Animal production\Fish\Transformation,0.5889820800000001,2.240291,1.6511581e-07,0.77541318,0.0096825459,1.2620977e-07,2.7348387e-08,1.2946528e-09,0.01459474,0.010082606,0.047432689,0.051686882,51.654217,48.949403,17.447789,36.060067,7.3950796e-06,0.011196363,1.8867994,0.34229518
"Hareng de l'Atlantique, Clupea harengus, atlantique nord est, chalut pélagique, au débarquement, Pays-Bas",Pêche,Agricultural\Animal production\Fish\Transformation,0.095402824,0.56746633,3.9367315e-08,0.0046285975,0.01202076,1.2557028e-07,2.1098818e-09,3.1887501e-10,0.016452318,2.1959117e-05,0.0039982402,0.043532175,3.17317585,0.6600756,0.014782765,6.9659696,1.4556729e-06,0.00072144733,0.56559121,0.0011536712
"Haricot français, moyenne conventionnelle, nationale, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.038033997,0.095949997,9.5284677e-09,0.0026032256,0.00048755946,2.7789925e-08,1.4552752e-09,1.8115535e-10,0.0042343639,5.2313027e-05,0.0019331066,0.018691425,9.4072203,69.096778,0.85872665,0.65135674,4.7221022e-07,2.2976052e-05,0.095906955,2.0065843e-05
"Homard, au débarquement, France",Pêche,Agricultural\Animal production\Seafood\Transformation,2.7129093,15.349099,6.7334965e-07,0.86164988,0.2052825,2.208866e-06,3.0064975e-07,2.1567348e-08,0.27785421,0.0044607961,0.065872549,0.70434723,137.269588,40.392629,1.3266451,232.98177,0.00053759626,0.30936831,14.963246,0.076484619
"Kiwi FR, conventionnel, moyenne nationale, au verger, France",Culture,Agricultural\Plant production\Fruits\Transformation,0.053478553,0.27737512,6.011357e-09,0.021014002,0.0010222105,3.270136e-08,9.3136319e-09,6.6165106e-10,0.0028224433,7.3573169e-05,0.00052983078,0.014514612,4.1234669,46.382731,1.6374272,2.4742508,6.5188638e-06,0.036673427,0.24050609,0.00019560253
"Laine, conventionnel, système Roquefort, à la ferme, France",Elevage,Agricultural\Animal production\Ovine\Transformation,0.61218991,4.6064783,1.9487366e-08,0.17063684,0.0057292139,7.7257574e-07,5.7524098e-08,2.0097843e-09,0.1122758,0.00024780461,0.021389766,0.498414,18.7513793,524.74558,0.39686621,11.000116,6.0816583e-06,2.8640016,1.7031035,0.039373252
"Laine, système de production conventionnel, intérieur, à la ferme, France",Elevage,Agricultural\Animal production\Ovine\Transformation,0.4806702,4.3088038,1.5218499e-08,0.060609975,0.0065851434,5.3548869e-07,7.7698016e-08,2.0198233e-09,0.079348,0.00018085676,0.016841527,0.35306626,16.2432269,466.63556,0.23147906,6.6120482,4.8162553e-06,3.010565,1.2260374,0.072201456
"Lait de brebis, conventionnel, système Roquefort, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.24056949,1.8402287,7.0085981e-09,0.069465345,0.0021313365,3.0158778e-07,2.2265105e-08,7.5809739e-10,0.043786511,9.107877e-05,0.0087167029,0.19438057,6.8001042,211.84978,0.10840497,4.3462338,2.351673e-06,1.1524528,0.6627425,0.025033404
"Lait de chèvre, fourrage intensif, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.17189703,1.1920952,8.265832e-09,0.082229226,0.0020599635,2.2232671e-07,1.577357e-08,5.7989358e-10,0.031345283,0.00011318951,0.0055662933,0.13713261,10.5547392,91.01857,0.45600119,4.7397537,2.3870308e-06,0.56718859,0.55260865,0.072297919
"Lait de vache, moyenne nationale, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.10540724,1.1061238,6.1238304e-09,0.035083814,0.0017671955,1.010635e-07,1.3642623e-08,5.2881169e-10,0.014976555,6.8064244e-05,0.003992328,0.065590084,14.5777639,59.0766,0.11527343,2.2493909,1.8201174e-06,0.71753219,0.27334078,0.11525083
"Lait de vache, système conventionnel, lait de plaine, maïs ensilage 10 à 30%, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.10670463,1.0549946,6.0961899e-09,0.03336488,0.0016786755,1.068574e-07,1.3911352e-08,5.2715178e-10,0.01579662,6.6067053e-05,0.004348262,0.069342102,15.6333768,57.661269,0.097237748,2.0865429,1.6970853e-06,0.65988666,0.24953698,0.14557094
"Lait de vache, système conventionnel, lait de plaine, maïs ensilage 5 à 10%, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.11127709,1.0980399,3.8266714e-09,0.038813928,0.0017302828,1.1536324e-07,1.8502617e-08,4.5094898e-10,0.017097476,4.1187329e-05,0.0043274754,0.075432298,8.499280899999999,73.178635,0.089710528,2.0587941,1.8201079e-06,0.74610435,0.2218773,0.13005824
"Lait de vache, système conventionnel, Lait de plaine, maïs ensilage plus de 30%, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.0993321849999999,1.0591142,6.4846858e-09,0.033318343,0.0017116257,9.0900246e-08,1.2639911e-08,5.3549546e-10,0.013466761,7.1214372e-05,0.0040900942,0.058748917,17.1639925,49.771473,0.11984904,2.1857368,1.8006313e-06,0.65387665,0.2602927,0.14494486
"Lait de vache, système conventionnel, montagne, nourri à l'herbe, à la ferme, France",Elevage,Agricultural\Animal production\Dairy\Transformation,0.12953972,1.4046025,5.534518e-09,0.04425617,0.0021749176,1.3383348e-07,1.5877403e-08,5.3751669e-10,0.019903632,6.8406317e-05,0.0029287978,0.087749449,3.9691943,97.962951,0.13172683,2.8681131,2.0973523e-06,1.0827546,0.39039013,-0.068542201
"Laitue conventionnelle, automne sous tunnel, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.019939929,0.099328088,2.9850388e-09,0.029351479,0.00040089472,9.8616364e-09,1.9180474e-08,3.391004e-10,0.0010524365,2.6470657e-05,0.00035088057,0.0039119149,3.0050135,2.8271309,0.28385107,2.5783183,1.7019942e-06,0.0014725107,0.097578947,0.0002766302
"Laitue conventionnelle, hiver sous tunnel, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.024182017,0.13541212,3.8022882e-09,0.023753179,0.00054475715,1.3008683e-08,1.9940977e-08,4.2619271e-10,0.0013835249,3.566514e-05,0.00040077222,0.0051453816,3.4091681,3.5124356,0.30426937,2.9250144,2.3599357e-06,0.0014659763,0.13366485,0.00028129606
"Laitue conventionnelle, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.0204198199999999,0.097654259,3.1919223e-09,0.037454607,0.00038955165,8.8923836e-09,2.2132805e-08,3.1348272e-10,0.0010397544,2.1833999e-05,0.0007397239,0.0039663301,2.34086591,3.4193933,0.31561749,2.497832,1.4730394e-06,0.00088834387,0.096576556,0.00018935925
"Laitue conventionnelle, plein champ, à la ferme, France",Culture,Agricultural\Plant production\Vegetables\Transformation,0.018124484,0.072188729,2.9200005e-09,0.050682003,0.0002817709,5.561225e-09,2.5128713e-08,2.2134842e-10,0.00080634935,9.7827416e-06,0.0012138707,0.0032306554,1.16325302,3.734491,0.3389504,2.1308873,7.5033213e-07,8.9983346e-05,0.072033246,6.5499686e-05
"Lapin de réforme, conventionnel, en cage, à la ferme, France",Elevage,Agricultural\Animal production\Others\Transformation,0.70393672,8.6931211,1.7832689e-07,1.387381,0.019886954,3.2612574e-07,9.5635102e-08,7.1403472e-09,0.036664818,0.0012114488,0.02493004,0.13555695,87.127768,372.09385,1.2218042,89.044619,2.7999492e-05,2.505292,5.4175368,0.77029224
"Lapin, conventionnel, en cage, à la ferme, France",Elevage,Agricultural\Animal production\Others\Transformation,0.26430343,3.4381395,3.2415326e-08,0.26092197,0.006321146,1.7752672e-07,3.4266362e-08,2.0741e-09,0.022238161,0.00040356581,0.010258553,0.091105569,34.121935,145.25544,0.35917163,16.619253,6.462285e-06,1.890294,1.2270164,0.32082906
"Lupin de printemps, 2013, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.1206048,0.91703265,9.3587699e-09,0.018535106,0.0011120028,2.4378316e-08,4.5391527e-09,3.5467549e-09,0.0019346816,0.00045276079,0.018352451,0.010171131,8.5997692,348.21816,0.078434224,3.3901914,2.7467671e-06,0.043045857,0.46805891,0.40592788
"Lupin de printemps, 2015, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.24816621,0.88961034,9.8741212e-09,0.020573212,0.0014631306,2.9618532e-07,3.7896066e-08,2.6521368e-09,0.042649432,0.00043501649,0.018625619,0.18768494,10.3967301,327.97621,0.15404012,3.6483095,3.5835998e-06,0.00013445902,0.50697298,0.3825029
"Lupin d'hiver, 2013, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.087915427,0.62462,6.2578468e-09,0.010479937,0.00068530607,1.211622e-08,2.370512e-09,2.5817029e-09,0.0010628458,0.00036309356,0.014930905,0.0043414255,6.0993812,272.01508,0.060029371,1.9252722,1.5593798e-06,0.015965018,0.28918793,0.31946706
"Lupin d'hiver, 2015, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.086487133,0.55107227,3.7194735e-09,0.010311002,0.00093125681,2.5262253e-08,1.2513328e-08,1.752259e-09,0.0036834644,0.00030879104,0.01279334,0.014879259,7.7830732,229.72565,0.087005695,2.0671357,1.6681108e-06,7.3600968e-05,0.28124357,0.2697551
"Lupin, conventionnel, moyenne nationale, à la ferme, France",Culture,Agricultural\Plant production\Legumes\Transformation,0.11459354,0.67834927,6.3061701e-09,0.013019213,0.00094562895,5.8297794e-08,1.1303771e-08,2.4353416e-09,0.0079379393,0.0003668215,0.015182114,0.034579531,7.6758898,275.85437,0.085592754,2.4335857,2.0566893e-06,0.012035763,0.34317791,0.3231356
